signal_feature_alpha,signal_feature_beta,signal_feature_gamma,categorical_tier_rank,signal_feature_delta,system_efficiency_ratio,target_outcome_class
83.787,15.407,2.383,2,105.986,0.732,1
64.726,22.732,1.445,3,104.657,0.578,1
45.128,23.442,2.165,2,61.668,0.62,1
12.509,20.459,0.714,3,112.958,0.832,0
84.364,11.403,1.159,2,122.686,0.783,1
29.156,20.213,3.47,1,139.802,0.532,1
25.319,27.564,3.36,1,94.835,0.821,0
65.339,13.227,2.799,4,85.239,0.725,0
86.596,34.784,0.507,2,94.596,0.879,0
70.764,13.795,2.006,2,138.01,0.919,1
58.459,18.259,1.053,4,151.583,0.495,1
58.921,12.62,3.694,5,143.63,0.827,1
62.801,19.786,1.758,2,129.431,0.949,1
61.384,4.062,1.206,2,109.035,0.749,1
54.218,13.632,2.433,2,113.712,0.816,0
51.563,9.263,1.696,5,118.086,0.751,0
49.061,19.083,4.032,1,102.436,0.857,0
38.691,25.956,1.592,4,136.675,0.774,0
45.79,23.168,0.861,5,60.417,0.437,0
24.606,0.0,0.1,3,65.968,0.703,0
48.525,34.337,2.366,3,60.364,0.694,0
35.171,20.362,1.782,5,85.934,0.82,0
33.446,11.788,0.828,5,150.386,0.885,0
52.698,19.257,3.708,1,74.331,0.688,0
70.88,19.41,3.134,3,75.436,0.549,0
63.775,12.665,2.369,4,85.239,0.763,0
26.442,19.583,3.901,2,143.225,0.611,1
35.156,13.14,3.129,2,153.059,0.635,1
64.112,14.765,1.495,1,140.452,0.99,0
35.263,12.51,1.257,1,142.311,0.625,1
46.631,6.539,3.3,3,159.557,0.501,1
58.251,19.167,2.836,4,56.105,0.805,0
35.475,22.682,2.587,4,73.253,0.819,0
51.581,22.119,1.469,5,88.978,0.843,0
29.99,24.559,3.069,1,113.112,0.838,1
40.979,20.595,1.569,2,113.015,0.74,0
54.797,13.738,2.288,2,113.483,0.742,1
26.105,24.717,3.992,3,135.027,0.852,1
56.607,7.14,1.673,2,52.465,0.945,0
49.705,10.795,0.67,4,105.79,0.543,1
58.287,10.286,1.242,4,117.968,0.635,1
53.359,26.64,3.494,1,100.235,0.808,0
70.462,25.542,2.68,3,115.674,0.756,0
51.878,21.898,2.258,2,140.666,0.469,1
43.559,26.575,1.84,1,111.867,0.64,1
51.834,10.966,2.934,5,174.134,0.762,1
58.149,20.789,1.466,5,138.527,0.722,0
50.733,16.999,2.736,2,117.984,0.67,1
50.609,24.775,1.596,2,125.112,0.99,0
39.47,17.078,1.413,2,132.3,0.717,1
40.056,14.92,1.699,4,160.563,0.752,1
28.961,22.327,1.987,2,145.229,0.739,1
76.244,25.009,2.346,5,125.426,0.75,1
31.342,12.653,2.659,2,88.14,0.725,1
39.606,17.511,0.1,3,122.448,0.428,1
39.224,9.532,1.512,5,127.368,0.581,0
63.424,0.0,1.969,3,133.336,0.676,1
45.576,19.604,4.056,5,87.983,0.834,0
68.716,22.871,1.212,1,132.142,0.678,1
39.898,20.097,2.579,5,134.015,0.604,0
54.185,2.404,4.045,5,73.704,0.852,0
37.47,15.193,0.956,3,73.957,0.909,0
82.177,0.253,2.833,3,143.54,0.505,1
32.186,28.958,1.518,5,84.345,0.734,0
54.647,9.312,1.845,5,156.132,0.346,1
59.507,28.043,1.517,4,101.632,0.676,0
56.207,25.567,1.595,1,121.546,0.984,0
47.221,10.795,5.0,1,120.089,0.733,1
48.053,8.938,3.329,2,88.566,0.527,1
50.657,20.803,3.612,5,151.714,0.53,1
47.795,11.245,2.941,5,101.661,0.589,0
64.458,18.82,0.633,5,111.764,0.626,0
83.158,14.137,2.834,5,50.535,0.455,1
41.638,3.751,3.58,1,69.908,0.766,1
29.453,0.156,1.461,3,143.814,0.796,1
48.676,19.813,3.462,4,109.834,0.671,0
88.696,13.508,3.175,3,92.433,0.99,0
37.945,13.575,4.437,3,92.915,0.66,1
74.587,23.567,1.94,1,126.458,0.888,0
75.166,27.388,1.193,4,147.811,0.526,1
41.696,15.82,2.002,5,93.148,0.762,0
58.535,15.275,3.979,1,142.876,0.783,1
74.426,22.001,0.389,1,105.198,0.621,1
44.313,7.145,0.125,4,125.019,0.743,0
46.946,19.785,2.498,2,56.749,0.619,0
41.275,22.415,1.913,1,61.89,0.676,0
34.779,23.442,2.409,3,134.603,0.68,1
40.261,2.506,3.44,3,118.248,0.523,1
31.641,11.909,1.792,5,122.11,0.793,0
50.511,10.974,0.34,1,77.637,0.803,0
38.45,18.799,4.649,5,97.333,0.668,1
53.507,21.846,1.303,1,59.833,0.754,0
26.662,29.974,1.235,4,84.577,0.591,0
54.963,14.04,3.614,1,109.314,0.545,1
62.503,14.019,1.977,2,119.835,0.664,1
20.094,27.197,2.33,3,88.612,0.817,0
55.611,20.373,2.931,4,126.565,0.709,1
68.415,28.141,3.592,3,108.852,0.659,1
31.855,20.31,2.033,5,103.222,0.767,0
75.089,8.743,4.072,4,112.509,0.592,1
56.285,7.335,0.1,2,172.989,0.548,1
39.425,5.588,3.236,3,105.17,0.671,1
49.163,23.296,1.477,1,138.567,0.601,1
58.375,27.509,3.909,1,126.389,0.553,1
51.14,32.795,2.556,1,102.555,0.847,1
58.081,24.745,1.66,4,63.491,0.99,0
36.19,27.303,3.129,2,91.183,0.502,1
52.54,13.36,3.383,2,112.292,0.662,1
28.794,8.749,3.106,2,106.857,0.744,1
48.332,24.801,1.267,3,148.899,0.479,1
36.441,21.341,1.868,4,87.995,0.689,0
38.967,18.86,2.396,1,105.596,0.699,1
68.541,21.099,2.355,3,126.091,0.787,1
66.37,20.585,3.225,2,101.656,0.612,1
59.137,28.271,0.184,1,139.21,0.641,0
33.615,28.36,2.768,4,77.373,0.856,0
45.254,22.354,2.081,5,64.407,0.779,0
68.196,24.766,1.478,2,101.407,0.822,0
52.126,22.113,1.583,2,107.869,0.474,1
84.79,14.311,2.164,2,116.543,0.626,1
55.9,24.053,0.1,2,114.154,0.932,0
52.881,6.844,1.629,1,97.748,0.708,1
45.363,26.431,1.437,4,64.761,0.702,0
52.003,8.444,2.986,3,106.439,0.708,1
47.713,20.286,1.514,1,78.823,0.94,0
60.622,11.239,2.163,4,112.117,0.616,1
64.351,22.427,4.097,3,76.76,0.814,0
38.21,17.729,3.494,2,121.376,0.757,1
30.032,5.242,3.392,4,160.037,0.529,1
22.457,21.366,1.85,2,88.221,0.678,0
57.62,13.377,2.997,4,72.047,0.603,1
33.45,25.049,2.143,5,144.335,0.542,1
17.707,18.011,2.184,2,163.01,0.887,1
55.829,21.163,2.851,2,72.633,0.549,1
87.395,10.339,1.743,2,107.254,0.825,1
49.909,13.285,4.042,1,124.603,0.599,1
62.577,14.331,2.224,3,102.192,0.91,0
51.227,24.854,3.08,2,57.452,0.661,0
48.517,31.419,4.001,2,68.813,0.767,0
63.786,11.559,3.535,1,71.966,0.641,1
45.646,26.615,0.85,1,78.797,0.417,1
54.011,0.643,2.889,5,112.606,0.487,1
54.825,8.446,3.336,4,142.932,0.454,1
39.979,10.33,3.381,2,69.276,0.756,0
64.881,7.18,1.175,4,86.423,0.716,0
47.376,5.331,1.677,1,76.701,0.803,0
38.664,21.304,3.494,1,118.652,0.625,1
58.048,16.287,1.562,5,85.342,0.416,1
36.523,21.035,2.07,3,79.678,0.902,0
50.423,23.524,4.133,1,62.088,0.859,0
49.863,20.125,2.347,2,150.791,0.772,1
66.288,23.262,1.601,5,175.687,0.876,1
57.12,17.444,1.435,3,112.525,0.706,0
49.625,8.504,2.766,5,154.568,0.757,1
62.266,26.463,0.934,1,92.993,0.621,1
70.853,13.287,2.128,3,109.973,0.57,0
58.367,10.515,2.767,4,129.538,0.499,1
50.155,16.577,3.829,3,87.447,0.615,1
30.322,10.698,3.134,2,105.216,0.99,0
34.023,14.661,1.615,4,101.513,0.507,0
45.422,20.752,3.696,4,123.132,0.589,1
40.857,20.787,2.071,2,111.862,0.736,0
47.195,10.817,1.041,4,88.178,0.99,0
50.85,14.098,2.211,1,100.973,0.573,1
57.945,26.595,3.982,3,143.442,0.632,0
48.943,21.971,2.582,3,126.466,0.814,0
57.298,34.601,2.414,2,123.855,0.806,0
50.967,27.441,4.201,1,177.68,0.623,1
20.368,27.154,0.826,4,76.072,0.603,0
35.91,6.897,0.986,3,131.293,0.783,0
47.839,24.111,0.623,3,111.644,0.677,0
31.855,17.575,2.81,3,120.314,0.76,0
58.999,13.592,2.583,3,115.468,0.696,1
72.961,19.344,4.097,5,88.955,0.769,0
68.281,25.562,2.668,2,78.948,0.784,0
46.798,22.007,1.955,4,109.995,0.447,1
72.361,10.972,2.402,4,86.535,0.655,0
52.23,23.94,2.529,2,98.912,0.767,0
44.944,12.899,0.561,1,133.945,0.833,0
40.799,19.733,5.0,2,73.193,0.674,1
45.463,15.573,2.972,3,104.249,0.462,1
44.177,16.249,2.631,3,141.635,0.895,0
52.556,24.13,3.077,2,94.785,0.84,0
52.409,9.678,3.18,2,154.084,0.735,1
50.046,33.562,2.245,4,63.476,0.655,0
56.554,3.431,1.706,4,164.582,0.804,1
67.86,13.219,3.059,5,110.54,0.656,0
64.243,20.962,2.824,5,70.141,0.843,0
27.727,22.675,1.509,3,134.995,0.972,0
11.691,17.196,3.961,5,122.925,0.652,1
64.015,17.541,2.723,5,151.464,0.829,0
29.497,21.284,3.203,1,63.919,0.628,0
46.629,16.151,3.931,2,77.117,0.864,0
32.448,29.145,2.424,4,133.102,0.685,1
22.97,24.715,2.749,5,186.486,0.923,1
58.122,24.983,3.291,4,127.257,0.681,1
61.387,10.271,1.603,5,131.903,0.594,1
41.352,17.365,2.459,5,87.162,0.673,0
11.134,15.596,2.538,3,104.545,0.689,0
41.806,9.955,1.348,1,91.405,0.753,0
55.877,20.881,4.949,2,125.07,0.674,1
27.816,13.699,0.852,2,137.886,0.754,0
52.75,23.243,0.972,3,115.572,0.757,0
49.77,9.438,3.846,3,133.863,0.66,1
58.689,31.752,3.185,2,109.138,0.766,0
51.794,10.829,1.271,2,149.74,0.638,1
35.404,19.754,3.068,1,84.153,0.99,0
67.949,24.335,4.015,5,152.478,0.762,1
47.622,13.435,2.367,1,88.516,0.806,0
49.59,24.82,5.0,2,110.492,0.693,1
36.001,8.167,0.504,5,74.171,0.619,0
43.351,29.617,3.163,2,125.179,0.837,0
36.728,18.113,3.683,1,113.945,0.766,1
47.406,13.229,3.38,1,132.159,0.354,1
75.676,15.607,2.175,1,57.986,0.99,0
29.421,24.471,2.081,5,114.016,0.823,0
25.797,13.324,2.889,4,122.104,0.667,1
72.068,12.005,3.297,4,80.343,0.805,0
46.86,16.228,3.063,2,125.99,0.779,1
39.964,8.584,3.544,5,41.085,0.789,0
65.599,32.564,1.279,3,106.168,0.598,0
40.916,13.469,2.149,4,152.375,0.73,0
77.39,24.653,1.366,5,105.909,0.762,0
60.169,19.676,1.975,5,88.428,0.892,0
42.681,10.124,3.517,4,108.061,0.734,0
82.36,17.952,2.519,5,112.972,0.78,0
40.914,24.272,5.0,5,136.891,0.593,1
61.131,16.494,2.613,4,113.897,0.729,0
54.489,27.545,2.466,1,132.861,0.841,1
69.526,26.172,2.517,2,112.762,0.624,1
73.423,25.351,1.698,3,87.52,0.666,1
50.48,14.323,2.336,2,67.944,0.585,1
38.699,9.361,3.641,1,121.15,0.53,1
56.9,13.091,2.525,1,35.863,0.599,0
39.834,19.57,1.527,5,57.044,0.799,0
80.201,22.366,1.382,2,68.059,0.686,0
52.048,0.627,1.905,1,131.439,0.6,1
44.52,17.935,2.481,2,65.306,0.99,0
52.77,19.265,3.713,1,124.104,0.622,1
29.793,15.78,0.925,3,79.041,0.807,0
35.426,28.33,2.048,1,105.606,0.767,0
68.006,21.374,2.559,2,108.122,0.755,1
40.147,28.482,0.383,5,105.156,0.464,0
34.296,16.272,1.483,2,90.601,0.898,0
58.05,25.5,1.652,4,63.009,0.765,0
67.786,31.081,1.524,2,110.805,0.849,0
60.784,28.494,2.611,3,126.73,0.879,0
64.941,9.263,2.223,3,130.376,0.96,0
38.648,15.971,1.789,3,112.454,0.58,1
28.673,15.239,2.871,1,117.728,0.619,1
72.52,21.914,4.295,3,86.867,0.639,1
45.16,23.491,4.203,2,123.484,0.599,1
46.238,11.289,0.285,5,122.38,0.905,0
69.923,18.543,3.035,3,101.066,0.58,1
58.343,1.841,2.204,2,111.443,0.667,1
56.838,29.536,2.571,1,109.196,0.492,1
82.475,13.901,1.962,1,123.696,0.822,0
40.347,18.447,2.529,5,63.685,0.702,0
63.918,15.523,2.567,5,63.089,0.844,0
50.855,27.168,1.763,2,64.646,0.818,0
54.029,0.0,1.414,5,96.657,0.49,1
72.927,17.867,1.906,5,123.659,0.746,0
57.618,17.153,2.658,1,42.62,0.567,0
58.074,14.371,3.059,2,112.82,0.74,1
66.088,31.81,3.339,5,145.813,0.638,1
44.526,10.901,1.856,2,118.195,0.977,0
37.412,24.174,2.712,3,49.433,0.99,0
34.328,20.85,3.459,1,125.632,0.686,1
20.505,28.092,3.682,1,117.268,0.734,0
80.843,12.662,2.335,1,99.721,0.4,1
33.452,12.136,2.157,4,115.453,0.49,1
46.681,26.769,2.61,2,68.124,0.774,0
45.848,21.403,1.135,3,111.53,0.715,0
54.611,5.641,2.187,5,124.358,0.779,1
62.236,13.686,3.219,3,89.212,0.608,1
62.907,21.091,3.106,2,95.875,0.762,0
41.254,24.702,2.103,1,92.971,0.366,1
47.493,12.566,2.639,4,95.742,0.635,0
54.239,0.0,1.493,2,85.096,0.785,0
46.27,22.186,3.174,2,86.881,0.958,0
74.11,8.237,2.314,5,125.483,0.704,0
57.365,1.861,2.096,3,57.719,0.803,0
61.023,0.0,2.002,3,115.49,0.626,1
59.943,24.512,2.331,5,125.424,0.782,1
67.602,19.029,1.907,4,69.419,0.651,0
52.715,16.195,3.124,1,107.703,0.99,0
30.548,29.112,1.965,1,82.504,0.674,0
55.995,23.099,4.152,4,144.09,0.696,1
40.23,30.93,4.012,5,103.831,0.828,0
42.071,6.858,1.419,2,154.194,0.79,1
58.795,17.724,2.477,3,149.668,0.669,1
68.574,5.066,1.684,2,119.22,0.777,1
50.319,16.165,2.041,3,174.281,0.572,1
54.632,16.011,4.603,2,62.766,0.752,0
75.533,23.013,2.062,5,153.363,0.797,0
53.611,18.365,2.796,5,101.958,0.661,0
89.025,22.987,2.995,4,106.199,0.668,1
58.483,23.628,1.299,2,96.163,0.632,0
23.589,35.239,1.459,2,66.498,0.519,0
61.3,15.478,1.073,4,127.088,0.778,1
55.717,10.472,1.425,4,72.779,0.653,0
69.346,19.969,0.1,5,92.27,0.798,0
60.098,11.582,2.999,5,93.598,0.694,0
47.923,29.856,4.66,2,139.867,0.806,1
31.636,15.734,2.563,5,107.79,0.48,1
46.865,13.475,0.842,5,36.688,0.56,0
37.242,14.229,1.693,2,83.029,0.602,0
41.292,23.747,1.895,4,63.136,0.888,0
58.829,16.738,1.281,2,125.074,0.776,1
75.049,12.867,3.346,1,74.513,0.683,1
55.92,31.323,3.291,2,91.825,0.653,1
32.062,11.151,1.129,1,162.51,0.803,1
56.669,18.285,3.198,2,129.103,0.638,1
67.949,23.218,4.079,1,75.062,0.823,1
40.853,4.949,4.493,1,134.751,0.69,1
47.99,21.842,5.0,2,88.465,0.901,0
50.22,9.559,1.408,5,134.676,0.588,1
38.227,24.582,5.0,3,97.63,0.702,1
59.724,10.299,2.01,5,81.199,0.591,0
48.186,23.542,1.748,1,78.396,0.948,0
56.293,26.847,2.76,2,118.629,0.723,1
36.688,24.891,1.76,2,137.391,0.579,1
43.438,20.011,2.839,2,121.172,0.594,1
60.836,16.15,0.948,2,97.021,0.792,0
44.408,13.389,2.137,3,56.08,0.465,1
75.904,29.768,3.814,4,90.819,0.695,0
44.005,12.404,2.337,1,72.439,0.601,1
53.37,9.703,2.556,3,151.057,0.698,1
63.989,23.323,2.923,5,98.045,0.734,0
28.725,11.631,3.688,4,119.011,0.706,1
23.588,10.399,0.579,4,99.69,0.683,0
27.115,6.451,3.043,2,122.891,0.743,1
68.939,14.137,2.105,3,131.545,0.965,0
41.722,17.338,2.583,5,179.854,0.898,1
88.373,19.945,3.566,2,96.322,0.673,1
41.536,25.61,1.086,2,141.293,0.822,0
52.768,22.215,1.286,1,118.338,0.815,0
73.132,16.473,0.271,4,92.656,0.667,0
80.091,16.414,1.796,5,94.798,0.716,0
80.923,22.081,3.863,4,124.127,0.795,1
68.125,28.181,2.267,3,101.102,0.618,1
65.361,19.011,0.926,1,113.148,0.686,1
58.888,14.247,1.866,2,129.939,0.692,1
61.675,10.057,0.763,1,184.859,0.682,1
41.732,6.438,1.162,2,110.975,0.677,1
37.727,23.33,2.828,1,76.155,0.782,0
49.949,22.624,1.109,2,121.94,0.724,1
47.447,22.619,3.624,4,95.479,0.81,1
43.202,16.971,2.322,4,166.808,0.99,0
60.446,29.255,2.494,4,95.087,0.645,0
64.33,14.127,2.094,4,110.552,0.75,0
51.326,25.642,3.25,1,128.687,0.791,1
72.163,17.69,3.261,2,124.739,0.873,1
32.875,13.133,2.769,4,151.706,0.781,0
47.095,22.74,3.021,1,130.025,0.567,1
39.248,21.277,2.167,2,180.288,0.627,1
22.002,20.856,2.996,1,123.485,0.741,1
48.76,18.65,2.028,4,148.973,0.623,1
48.174,17.697,2.402,3,95.922,0.513,1
72.702,37.107,2.098,1,169.245,0.607,1
59.462,27.474,1.897,4,99.569,0.608,1
34.637,23.783,1.642,5,154.581,0.579,1
77.811,18.894,2.914,2,136.758,0.99,0
68.316,26.057,3.842,4,112.0,0.764,1
58.731,22.144,3.688,5,154.87,0.736,1
46.603,18.21,1.018,1,109.64,0.849,0
35.608,15.571,3.818,1,151.052,0.972,1
44.417,17.353,2.05,5,121.341,0.774,0
66.331,0.0,3.061,5,98.684,0.862,0
78.269,19.685,1.403,2,119.608,0.65,1
73.149,14.092,2.556,1,111.023,0.593,1
42.667,30.741,2.745,5,96.725,0.847,0
33.206,18.155,0.767,3,116.99,0.845,0
52.113,8.488,3.069,3,122.111,0.831,1
23.473,17.601,3.881,5,36.364,0.738,0
54.848,9.631,2.208,2,125.041,0.611,1
47.786,21.787,3.896,1,132.233,0.653,1
43.009,20.328,2.191,3,153.549,0.882,0
26.079,25.663,3.335,5,72.92,0.637,0
57.704,11.673,0.1,5,79.475,0.746,0
42.009,18.272,5.0,4,116.278,0.612,1
32.451,7.08,4.045,5,88.612,0.693,0
10.0,23.612,2.087,2,74.307,0.569,0
49.587,22.151,0.231,3,97.598,0.71,0
76.584,21.966,2.717,4,99.205,0.653,0
74.919,18.013,0.812,3,79.531,0.481,1
43.144,21.318,2.889,3,79.33,0.812,0
40.967,30.835,2.853,2,106.36,0.805,0
57.032,15.719,1.364,5,66.541,0.728,0
35.024,19.109,3.633,2,66.058,0.563,0
54.527,9.311,3.286,5,112.145,0.565,1
61.491,11.054,3.473,4,155.169,0.99,1
68.404,18.783,2.41,2,131.991,0.353,1
48.498,26.831,0.843,2,146.679,0.567,1
46.945,15.95,3.476,1,55.848,0.99,0
36.83,16.113,2.103,2,67.742,0.99,0
37.597,14.745,0.871,1,110.32,0.958,0
46.603,13.722,3.887,5,135.087,0.794,1
55.51,20.36,4.709,5,129.141,0.631,1
63.704,6.022,2.355,5,69.675,0.484,1
37.952,28.248,4.775,1,144.071,0.777,1
72.39,12.677,2.5,5,107.56,0.613,1
45.933,23.775,1.981,3,133.332,0.923,0
49.679,7.84,1.706,2,91.848,0.461,1
38.792,23.351,4.201,1,63.688,0.748,1
13.636,23.376,1.542,5,135.375,0.85,0
63.261,21.074,3.209,3,124.089,0.862,1
61.053,10.045,1.785,2,72.631,0.837,0
45.78,19.996,1.894,2,89.955,0.768,1
51.005,8.536,3.533,5,130.583,0.738,1
57.739,15.978,1.982,3,116.181,0.847,0
26.562,26.235,1.955,1,125.051,0.768,1
42.064,24.374,3.646,5,94.269,0.772,1
61.914,18.121,4.157,2,152.694,0.725,1
31.186,10.202,3.109,2,106.665,0.666,1
54.403,23.165,1.68,2,38.976,0.531,0
29.651,18.155,1.838,5,113.208,0.555,0
56.996,0.0,2.488,4,128.148,0.666,1
49.465,24.261,2.753,4,118.912,0.703,0
25.773,17.806,1.313,4,97.201,0.585,1
67.471,27.62,3.195,3,51.388,0.574,1
38.981,9.238,2.494,5,90.501,0.669,0
37.846,0.0,0.513,2,93.333,0.846,0
53.009,20.233,1.378,3,90.224,0.423,1
67.23,20.333,1.845,4,128.359,0.589,1
34.763,4.475,2.32,1,99.997,0.743,1
50.925,10.172,4.478,3,151.45,0.9,1
56.432,40.042,2.662,3,103.233,0.99,0
60.397,15.555,1.475,5,146.477,0.672,0
52.647,23.848,2.643,3,116.434,0.67,1
44.495,12.795,2.013,5,117.914,0.701,0
37.586,1.278,2.757,1,89.514,0.752,1
51.292,16.638,3.039,2,69.481,0.714,0
33.918,15.875,3.73,2,107.8,0.736,1
10.0,14.801,2.373,4,160.605,0.533,1
56.548,17.083,4.203,4,96.239,0.487,1
63.559,20.114,3.399,1,91.479,0.82,1
14.556,16.799,1.622,2,104.842,0.693,1
34.854,7.888,4.831,4,163.046,0.837,1
59.287,21.889,2.76,3,133.608,0.751,1
80.862,2.405,1.481,5,146.428,0.519,0
50.312,1.597,4.218,4,50.59,0.937,0
39.08,23.913,4.686,1,85.261,0.724,1
47.257,22.056,2.364,2,86.302,0.615,1
70.623,17.541,1.846,1,144.083,0.645,1
40.311,6.836,2.21,5,129.796,0.55,1
38.012,12.337,3.186,5,141.677,0.767,1
42.759,15.898,3.806,1,53.732,0.704,1
35.7,5.233,3.028,4,143.31,0.99,0
51.84,12.088,2.512,4,129.78,0.793,1
74.37,23.219,4.048,2,82.277,0.99,0
54.846,29.418,2.056,2,104.092,0.585,1
46.215,14.645,3.534,3,83.192,0.674,0
45.623,24.052,2.083,3,107.102,0.845,0
26.552,2.688,2.874,2,123.481,0.802,1
63.247,23.276,2.275,3,152.127,0.718,1
48.832,11.568,2.339,1,81.817,0.569,1
47.293,20.459,1.985,4,95.924,0.415,1
97.897,16.018,3.879,3,76.912,0.689,1
54.481,28.563,1.594,3,132.997,0.695,1
38.723,11.005,1.586,1,62.733,0.738,0
43.605,23.021,4.733,5,115.31,0.518,1
67.227,15.764,3.476,2,73.226,0.597,0
51.699,16.734,0.1,1,111.374,0.775,1
28.426,16.529,1.778,5,144.677,0.802,0
63.788,11.235,0.407,1,94.662,0.748,0
39.978,17.887,1.354,4,116.626,0.671,0
78.099,17.499,0.1,1,83.205,0.554,1
66.201,19.93,2.249,1,106.627,0.854,0
43.29,18.676,1.144,4,63.263,0.822,0
69.215,24.384,2.466,2,131.231,0.64,1
51.018,25.388,0.612,5,97.536,0.837,0
62.792,9.595,2.491,3,103.735,0.71,0
57.271,24.95,1.944,2,112.076,0.624,1
37.305,8.509,4.052,1,50.998,0.85,0
40.347,22.703,3.952,3,89.233,0.734,0
65.449,22.958,3.264,4,114.057,0.66,1
44.978,2.709,2.041,2,105.202,0.54,1
43.945,18.744,4.584,5,175.32,0.553,1
35.673,14.252,0.692,2,147.762,0.839,0
56.354,11.93,0.856,2,114.188,0.783,0
80.938,28.807,2.308,3,79.325,0.556,0
33.987,12.771,4.879,4,95.152,0.554,1
50.363,11.549,2.177,4,129.744,0.99,0
71.183,18.606,2.198,2,112.299,0.785,0
48.805,23.485,0.814,4,148.283,0.889,0
56.786,16.867,3.441,3,112.061,0.929,0
34.064,27.331,3.448,3,113.475,0.59,1
56.425,22.248,3.268,5,158.726,0.964,0
47.193,0.574,1.708,4,77.103,0.569,0
64.786,13.764,1.623,5,162.016,0.822,0
67.811,13.505,0.978,1,133.089,0.704,1
88.843,21.835,2.492,3,207.064,0.821,1
58.694,0.0,1.212,2,88.957,0.691,1
54.887,38.392,1.105,3,158.882,0.797,1
52.916,22.248,1.934,1,114.016,0.911,1
44.703,19.191,1.862,2,104.432,0.877,0
55.077,27.453,1.808,4,119.147,0.711,0
45.569,36.749,2.913,4,113.756,0.587,0
52.527,24.966,2.487,3,86.633,0.678,0
69.764,25.591,2.083,2,106.051,0.782,0
34.902,19.046,2.601,2,119.213,0.811,0
67.098,16.868,1.309,5,97.245,0.87,0
69.757,14.194,2.516,1,126.213,0.618,1
48.229,11.391,2.566,4,101.125,0.589,0
18.172,12.504,0.747,3,123.75,0.577,0
40.883,7.196,3.495,2,120.131,0.692,1
69.455,17.393,1.43,4,123.54,0.75,0
49.657,4.523,2.499,3,69.539,0.772,0
35.01,19.527,3.681,4,142.912,0.522,1
42.428,17.709,3.418,3,84.019,0.587,1
62.609,19.175,2.438,4,104.424,0.622,1
58.201,13.823,2.001,5,90.625,0.966,0
46.416,42.615,3.442,1,112.14,0.667,1
44.498,28.881,3.142,4,106.666,0.513,1
44.124,8.044,1.72,1,129.536,0.773,1
36.164,19.863,1.526,4,111.316,0.705,0
74.231,13.136,0.12,2,98.249,0.556,1
45.165,9.884,2.569,5,56.078,0.654,0
68.257,7.279,2.309,5,136.53,0.672,1
72.82,21.458,3.65,1,125.526,0.703,1
64.975,12.549,2.795,2,137.754,0.85,1
43.526,25.743,3.868,3,104.438,0.798,0
56.056,25.95,1.633,5,120.708,0.738,0
49.637,28.991,3.652,2,90.398,0.858,0
36.444,11.181,1.818,2,87.656,0.663,0
54.865,21.803,3.255,1,101.492,0.618,1
32.314,23.06,0.795,2,137.654,0.763,0
67.815,14.207,2.659,2,101.757,0.752,1
43.031,11.826,0.217,3,108.377,0.513,0
53.017,30.876,2.106,1,117.273,0.929,0
54.249,19.82,2.884,1,110.76,0.577,1
46.116,23.088,1.827,2,140.43,0.794,0
58.8,11.423,1.245,3,87.558,0.797,0
42.876,8.246,3.331,4,112.992,0.288,1
63.069,13.444,2.286,5,124.227,0.752,0
29.81,17.008,1.861,1,60.732,0.949,0
51.896,9.486,2.446,3,117.981,0.621,1
79.084,17.921,5.0,3,150.261,0.454,1
34.995,4.492,3.669,2,99.485,0.704,1
39.834,9.04,3.679,5,77.449,0.785,0
57.709,23.367,2.879,1,124.011,0.708,1
52.694,22.83,2.583,4,115.385,0.587,1
55.259,14.865,0.1,2,155.673,0.576,1
57.338,9.858,1.653,1,123.13,0.493,1
59.521,9.781,1.871,1,81.694,0.458,1
66.645,15.014,0.338,3,80.338,0.672,0
56.147,23.156,1.127,5,135.795,0.779,0
46.381,25.426,0.221,4,120.707,0.742,0
60.089,14.028,2.358,5,108.253,0.755,0
78.498,8.772,3.301,3,115.172,0.808,1
48.01,20.143,3.617,4,123.258,0.903,0
35.382,11.412,2.856,4,121.185,0.724,0
66.606,13.854,1.34,2,64.836,0.768,0
48.194,28.602,0.275,4,146.501,0.769,0
17.41,24.617,0.467,1,148.508,0.741,1
62.711,19.264,1.004,5,164.304,0.723,1
41.97,7.825,1.422,5,157.778,0.734,1
48.642,19.691,2.224,2,152.676,0.939,1
54.98,26.501,1.284,4,101.405,0.921,0
52.857,14.995,2.773,3,119.041,0.481,1
60.642,28.809,2.144,1,145.01,0.751,1
43.468,28.342,2.412,2,55.977,0.721,0
57.697,31.31,3.654,4,103.44,0.896,0
46.107,20.442,1.102,3,58.839,0.715,0
61.082,22.699,2.861,4,118.408,0.755,0
59.231,29.313,2.385,2,147.974,0.629,1
35.968,21.579,2.033,3,110.564,0.834,0
66.29,13.99,3.374,3,92.923,0.546,1
41.961,14.412,3.367,3,118.495,0.677,1
62.121,19.908,1.359,3,122.374,0.572,1
55.509,7.676,2.2,4,124.488,0.678,1
77.573,16.854,2.709,3,73.552,0.643,0
46.648,26.772,2.1,4,117.305,0.837,0
44.76,0.47,3.044,3,115.525,0.689,1
49.709,30.276,2.709,3,138.449,0.929,0
45.452,26.979,4.416,2,107.732,0.686,1
61.999,14.322,0.717,4,169.227,0.568,1
25.755,22.347,2.265,4,112.47,0.686,0
34.195,18.025,1.401,5,95.658,0.787,0
